Country,2016,2015,2010,2005,2000
Afghanistan,53,53.2,51.6,49.6,46.9
Albania,68.1,67.8,66.4,65.4,64.9
Algeria,65.5,65.3,64.5,62.8,60.7
Angola,55.8,55.3,51.8,46.7,41.9
Antigua and Barbuda,67,66.9,66.5,65.4,64.6
Argentina,68.4,68.2,67.3,66.7,65.7
Armenia,66.3,66,65.2,64.7,63.8
Australia,73,72.7,72.2,71.4,70.3
Austria,72.4,72.1,71.4,70.6,69.5
Azerbaijan,64.9,64.6,63.4,61.5,59.6
Bahamas,66.8,66.7,66.4,65.1,63.7
Bahrain,68.1,67.7,66.3,64.5,63
Bangladesh,63.3,62.8,60.7,58.6,56.5
Barbados,67,66.8,66.2,65.8,65.1
Belarus,65.5,65.2,62.3,60.8,60.8
Belgium,71.6,71.4,70.8,69.9,68.9
Belize,62.5,62.3,61.9,61.4,61
Benin,53.5,53.1,51.7,49.7,48.4
Bhutan,60.7,60.2,58.7,56.2,52.6
Bolivia (Plurinational State of),63,62.7,61,58.5,56
Bosnia and Herzegovina,67.2,66.9,66.7,65.6,65.5
Botswana,57.5,56.8,52.9,45.3,42.7
Brazil,66,65.8,64.5,63.3,61.5
Brunei Darussalam,67.9,67.7,67.9,67.6,65.9
Bulgaria,66.4,66.2,65.7,64.7,63.7
Burkina Faso,52.9,52.4,49.7,45.9,43.1
Burundi,52.6,52.2,50.3,47.1,44.6
Cabo Verde,64.5,64.3,63.1,61.9,60.7
Cambodia,60.8,60.4,58.5,54.5,50
Cameroon,51.1,50.3,48.3,45.4,42.9
Canada,73.2,73,72.2,71.3,70.4
Central African Republic,44.9,44.6,42.7,39.7,39.2
Chad,47.2,46.7,45.1,42.7,41.5
Chile,69.7,69.6,68.9,68.6,67.8
China,68.7,68.4,67.6,66.7,64.8
Colombia,67.1,66.8,65.7,65.1,63.4
Comoros,56.6,56.3,54.7,53,52.3
Congo,56.7,56.1,54.2,49.2,46.4
Costa Rica,70.9,70.7,69.7,70,69
Côte d'Ivoire,48.3,47.7,46.2,44.1,43.1
Croatia,69,68.4,67.9,66.6,65.9
Cuba,69.9,69.6,69,68.3,67.7
Cyprus,73.3,73.1,72.4,71.2,70.5
Czechia,69.3,68.8,68.1,67,66.2
Democratic People's Republic of Korea,64.6,64.4,62.3,61.5,58.3
Democratic Republic of the Congo,52.5,52.1,49.9,47.1,44.4
Denmark,71.8,71.5,70.4,69.6,68.6
Djibouti,56.6,56.3,54.3,51.7,50.4
Dominican Republic,65.2,64.9,63.8,62.4,61.8
Ecuador,67.9,67.6,66.8,65.9,64.3
Egypt,61.1,60.8,60,59.7,59.1
El Salvador,65.5,65.2,64.2,62.6,61.3
Equatorial Guinea,53.8,53.6,51.2,48.6,47
Eritrea,57.4,57.1,55.3,52.9,39.6
Estonia,68.2,68,66.7,64.4,62.6
Eswatini,50.2,49.9,44.2,38.5,42.3
Ethiopia,57.5,57,54,48.6,44.5
Fiji,61.3,61.2,60.4,59.7,59.1
Finland,71.7,71.6,70.4,69.6,68.5
France,73.4,73.2,72.2,71.3,70.3
Gabon,58.7,58.2,54.8,52.3,51.8
Gambia,54.4,54.1,52.5,51,49.1
Georgia,64.9,65.1,64.8,65.2,64
Germany,71.6,71.3,70.9,70.2,69.2
Ghana,56.4,56,54.1,51.9,50.6
Greece,72,71.8,71.5,70.5,69.6
Grenada,64.7,64.6,64,62.9,62.4
Guatemala,64.2,63.9,62.1,60.4,59.1
Guinea,52.2,51.1,50,47.1,45
Guinea-Bissau,51.7,51.2,48.8,46.4,45
Guyana,58.3,58.2,57.8,56.9,56.8
Haiti,55.3,55.1,32.3,52.5,50.3
Honduras,66.8,66.6,65.5,64.3,62.8
Hungary,66.8,66.4,65.6,64.6,63.5
Iceland,73,73,72.6,71.9,70.7
India,59.3,58.9,57.4,55.3,53.5
Indonesia,61.7,61.5,60.4,59.7,58.7
Iran (Islamic Republic of),65.4,65.1,63.9,62,60.6
Iraq,59,58.4,59.6,56.4,58.4
Ireland,72.1,72,71.5,69.8,67.8
Israel,72.9,72.7,72.4,70.8,69.7
Italy,73.2,73,72.8,71.9,70.6
Jamaica,66.9,66.7,66.1,64.6,64.1
Japan,74.8,74.7,73.8,73.2,72.5
Jordan,66.4,66.2,64.7,63.5,62.9
Kazakhstan,63.4,62.8,60.2,57.7,57
Kenya,58.9,58.3,55.5,48.9,47.1
Kiribati,57.8,57.6,57.5,55,55.8
Kuwait,66.3,66.1,64.6,63.8,63.7
Kyrgyzstan,63.5,63.2,61.1,59.7,59.1
Lao People's Democratic Republic,57.9,57.5,56,53.4,50.7
Latvia,66.2,65.9,64.6,62.8,62.2
