Units,scenario,region,year,value
Million1990US$,GCAM-China_Ref,Africa_Eastern,2020,126629
Million1990US$,GCAM-China_Ref,Africa_Northern,2020,367378
Million1990US$,GCAM-China_Ref,Africa_Southern,2020,103064
Million1990US$,GCAM-China_Ref,Africa_Western,2020,275045
Million1990US$,GCAM-China_Ref,AH,2020,240468
Million1990US$,GCAM-China_Ref,Argentina,2020,300820
Million1990US$,GCAM-China_Ref,Australia_NZ,2020,610896
Million1990US$,GCAM-China_Ref,BJ,2020,256278
Million1990US$,GCAM-China_Ref,Brazil,2020,976038
Million1990US$,GCAM-China_Ref,Canada,2020,845803
Million1990US$,GCAM-China_Ref,Central America and Caribbean,2020,230998
Million1990US$,GCAM-China_Ref,Central Asia,2020,124602
Million1990US$,GCAM-China_Ref,Central China Grid,2020,1
Million1990US$,GCAM-China_Ref,China,2020,4818070
Million1990US$,GCAM-China_Ref,China Southern Power Grid,2020,1
Million1990US$,GCAM-China_Ref,Colombia,2020,209836
Million1990US$,GCAM-China_Ref,CQ,2020,161585
Million1990US$,GCAM-China_Ref,East China Grid,2020,1
Million1990US$,GCAM-China_Ref,EU-12,2020,606103
Million1990US$,GCAM-China_Ref,EU-15,2020,7995750
Million1990US$,GCAM-China_Ref,Europe_Eastern,2020,91939.1
Million1990US$,GCAM-China_Ref,Europe_Non_EU,2020,868960
Million1990US$,GCAM-China_Ref,European Free Trade Association,2020,371785
Million1990US$,GCAM-China_Ref,FJ,2020,269096
Million1990US$,GCAM-China_Ref,GD,2020,762837
Million1990US$,GCAM-China_Ref,GS,2020,79821.2
Million1990US$,GCAM-China_Ref,GX,2020,186554
Million1990US$,GCAM-China_Ref,GZ,2020,102279
Million1990US$,GCAM-China_Ref,HA,2020,395818
Million1990US$,GCAM-China_Ref,HB,2020,302950
Million1990US$,GCAM-China_Ref,HE,2020,357730
Million1990US$,GCAM-China_Ref,HI,2020,40958.6
Million1990US$,GCAM-China_Ref,HL,2020,165621
Million1990US$,GCAM-China_Ref,HN,2020,299389
Million1990US$,GCAM-China_Ref,India,2020,1382000
Million1990US$,GCAM-China_Ref,Indonesia,2020,633430
Million1990US$,GCAM-China_Ref,Japan,2020,4339440
Million1990US$,GCAM-China_Ref,JL,2020,155611
Million1990US$,GCAM-China_Ref,JS,2020,697311
Million1990US$,GCAM-China_Ref,JX,2020,182728
Million1990US$,GCAM-China_Ref,LN,2020,319732
Million1990US$,GCAM-China_Ref,Mexico,2020,683569
Million1990US$,GCAM-China_Ref,Middle East,2020,1174060
Million1990US$,GCAM-China_Ref,NM,2020,201960
Million1990US$,GCAM-China_Ref,North China Grid,2020,1
Million1990US$,GCAM-China_Ref,Northeast China Grid,2020,1
Million1990US$,GCAM-China_Ref,Northwest China Grid,2020,1
Million1990US$,GCAM-China_Ref,NX,2020,33594.8
Million1990US$,GCAM-China_Ref,Pakistan,2020,218316
Million1990US$,GCAM-China_Ref,QH,2020,26939.1
Million1990US$,GCAM-China_Ref,Russia,2020,460235
Million1990US$,GCAM-China_Ref,SC,2020,327883
Million1990US$,GCAM-China_Ref,SD,2020,670079
Million1990US$,GCAM-China_Ref,SH,2020,288543
Million1990US$,GCAM-China_Ref,SN,2020,196304
Million1990US$,GCAM-China_Ref,South Africa,2020,161309
Million1990US$,GCAM-China_Ref,South America_Northern,2020,156855
Million1990US$,GCAM-China_Ref,South America_Southern,2020,391389
Million1990US$,GCAM-China_Ref,South Asia,2020,263617
Million1990US$,GCAM-China_Ref,South Korea,2020,706988
Million1990US$,GCAM-China_Ref,Southeast Asia,2020,1051060
Million1990US$,GCAM-China_Ref,SX,2020,159530
Million1990US$,GCAM-China_Ref,Taiwan,2020,388058
Million1990US$,GCAM-China_Ref,TJ,2020,212810
Million1990US$,GCAM-China_Ref,USA,2020,11914900
Million1990US$,GCAM-China_Ref,XJ,2020,112701
Million1990US$,GCAM-China_Ref,XZ,2020,11022
Million1990US$,GCAM-China_Ref,YN,2020,153341
Million1990US$,GCAM-China_Ref,ZJ,2020,468815
