region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
AH,56845.1,62224.1,59885.3,61247,62162.2,62401.5,62134.1,61500.7,60546.6,59290.8,57772.4,56096,54381.8,52747,51232.4,49795,48442,47301.1,46395.5,45610.5,44832,thous
Africa_Eastern,151294,229496,261195,290437,316741,343604,367627,392456,410576,429462,443316,462107,476063,490068,497165,504095,507225,509059,506716,501188,498888,thous
Africa_Northern,118829,155017,167629,176959,183264,188973,192389,195957,196326,197346,196198,197353,196496,195799,192472,189335,185274,181315,176528,171141,167362,thous
Africa_Southern,81775,121174,136928,151677,165392,179644,192680,206396,216935,227941,236490,247645,256261,265086,270283,275326,278494,281149,281469,279880,279979,thous
Africa_Western,242102,365301,416138,463145,506983,553511,597213,644032,681377,721429,754629,795458,827750,860966,882366,903332,917589,929311,933346,931378,935554,thous
Argentina,32459,38476,40306,42284,44248,46035,47793,49419,51120,52644,54185,55535,56910,58194,59485,60637,61691,62614,63373,63813,64537,thous
Australia_NZ,20497,24511,25800,27023,28193,29354,30398,31369,32134,32789,33249,33619,33782,33805,33626,33338,32937,32485,32005,31569,31113,thous
BJ,10905.1,15637.4,19723.8,22246.1,24508.9,26504,28212.8,29625.4,30704.5,31410.4,31726.2,31686,31350.3,30792.3,30049.6,29206.5,28412.9,27743.7,27212.5,26752.1,26295.5,thous
Brazil,148809,184998,194435,204306,214024,222725,230726,237518,244062,249492,254444,257888,261134,263404,265402,266451,266917,266467,265156,262514,261080,thous
CQ,29330.3,28448.2,29002.7,30459.5,31624.1,32405.6,32867.6,33067.7,33019.9,32727,32206.4,31515.7,30724.5,29904.1,29083.2,28267.2,27499.1,26851.5,26337.4,25891.7,25449.8,thous
Canada,27692,32312,33890,35034,35928,36793,37381,37905,38121,38339,38420,38625,38750,38933,39066,39279,39517,39809,40090,40339,40612,thous
Central America and Caribbean,59218,74803,80040,85282,90334,94941,99357,103322,107201,110637,113958,116771,119519,122087,124790,127272,129651,131653,133255,134171,135706,thous
Central Asia,68789,75885,79447,82854,86066,88673,90951,92613,94034,94770,95068,94511,93632,92452,91288,89927,88647,87526,86876,86884,86436,thous
Central China Grid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,thous
China,1132110,1311550,1348170,1383800,1410530,1425300,1431640,1428890,1416580,1397880,1372580,1348110,1320740,1295560,1268210,1244390,1220870,1198400,1171820,1137900,1110670,thous
China Southern Power Grid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,thous
Colombia,33017,42812,46173,49613,53046,56255,59362,62192,65013,67601,70122,72329,74569,76569,78559,80324,81888,83107,84013,84421,85129,thous
EU-12,107609,103758,103019,101885,100703,99438,97948,96128,94360,92284,90229,87469,84694,81552,78724,75762,73127,70782,69246,68759,67384,thous
EU-15,367144,390522,397492,399793,399450,399602,397433,395576,390287,385558,378851,374128,367643,361528,353602,346582,339688,334216,329796,327526,323323,thous
East China Grid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,thous
Europe_Eastern,66274,60393,58112,56169,54639,53340,52353,51407,50659,49842,49115,48226,47417,46457,45546,44563,43657,42839,42257,41995,41436,thous
Europe_Non_EU,78877,92544,96540,99401,101732,103842,105109,106018,105837,105321,104075,102790,100877,98830,96279,93658,90959,88522,86559,85377,83661,thous
European Free Trade Association,11282,12470,12907,13230,13487,13789,14012,14222,14283,14356,14359,14438,14437,14420,14298,14181,14046,13947,13866,13849,13731,thous
FJ,30496.1,36165.2,37125.5,38588.9,39782.5,40505.6,40847.8,40888.4,40649.4,40138,39377.8,38440.2,37409.8,36371.6,35358.8,34366.8,33433,32645.6,32020.5,31478.8,30941.5,thous
GD,63735.5,93478.5,104963,108610,111427,112955,113461,113178,112176,110479,108158,105407,102459,99541.9,96743.3,94028.9,91474,89319.7,87609.5,86127.2,84657.2,thous
GS,22640.3,25875.9,25735.5,26141.6,26333.3,26255,25983.2,25579.6,25064.8,24447.1,23743,22995,22250.9,21557.3,20929.4,20342.1,19789.4,19323.4,18953.4,18632.7,18314.7,thous
GX,42596.1,47379.8,46344,48280.6,49844.5,50815.6,51304,51407.3,51152.1,50546.6,49620,48461.9,47179.4,45880.1,44606.2,43354.6,42176.6,41183.3,40394.8,39711.3,39033.5,thous
GZ,32811,37924.2,34974.1,35441.4,35666.4,35528.8,35133.1,34563.1,33846.7,32995.6,32031.6,31012,30001.4,29061.9,28213.7,27422.1,26677,26048.7,25550,25117.7,24689,thous
HA,86849.1,95369.6,94547.8,95034.9,95102.9,94255.3,92781.2,90908.5,88712.9,86225.1,83501.6,80689,77951.4,75446,73220.7,71166.3,69232.6,67602.2,66307.8,65185.9,64073.3,thous
HB,54618.8,58055.5,57583.2,58785.7,59391.1,59372.4,58898.1,58105.7,57040.7,55721.9,54186.4,52531.8,50868.8,49305.2,47877,46533.6,45269.2,44203.1,43356.8,42623.2,41895.7,thous
HE,61845.7,69656.4,72320.8,74820.8,76752.7,77796.2,78137.1,77935.5,77239.4,76066.5,74464.1,72567.4,70535.5,68526.1,66599,64730.4,62971.6,61488.6,60311.3,59290.8,58278.9,thous
